name,infolink
Friedhof Godorf,https://www.kvb.koeln/haltestellen/overview/138/
Friedhof Lehmbacher Weg,https://www.kvb.koeln/haltestellen/overview/682/
Friedhof Rodenkirchen,https://www.kvb.koeln/haltestellen/overview/100/
Friedhof Stammheim,https://www.kvb.koeln/haltestellen/overview/644/
Friedhof Steinneuerhof,https://www.kvb.koeln/haltestellen/overview/102/
Friedhof Worringen,https://www.kvb.koeln/haltestellen/overview/749/
Friedrich-Hirsch-Str.,https://www.kvb.koeln/haltestellen/overview/480/
Friedrich-Karl-Str.,https://www.kvb.koeln/haltestellen/overview/345/
Friesenplatz,https://www.kvb.koeln/haltestellen/overview/30/
Fuggerstr.,https://www.kvb.koeln/haltestellen/overview/462/
Fuldaer Str.,https://www.kvb.koeln/haltestellen/overview/517/
Further Str.,https://www.kvb.koeln/haltestellen/overview/423/
Fühlingen,https://www.kvb.koeln/haltestellen/overview/405/
Fühlinger Weg,https://www.kvb.koeln/haltestellen/overview/397/
Gaedestr.,https://www.kvb.koeln/haltestellen/overview/82/
Gauweg,https://www.kvb.koeln/haltestellen/overview/821/
Geestemünder Str.,https://www.kvb.koeln/haltestellen/overview/367/
Geibelstr.,https://www.kvb.koeln/haltestellen/overview/146/
Geilenkircher Str.,https://www.kvb.koeln/haltestellen/overview/184/
Geisselstr.,https://www.kvb.koeln/haltestellen/overview/253/
Geldernstr./Parkgürtel,https://www.kvb.koeln/haltestellen/overview/325/
Gerhart-Hauptmann-Str.,https://www.kvb.koeln/haltestellen/overview/589/
Gerolsteiner Str.,https://www.kvb.koeln/haltestellen/overview/157/
Gewerbegebiet Bilderstöckchen,https://www.kvb.koeln/haltestellen/overview/335/
Gewerbegebiet Broichstr.,https://www.kvb.koeln/haltestellen/overview/545/
Gewerbegebiet Feldkassel,https://www.kvb.koeln/haltestellen/overview/33/
Gewerbegebiet Pesch,https://www.kvb.koeln/haltestellen/overview/382/
Gewerbegebiet Pesch Nord,https://www.kvb.koeln/haltestellen/overview/781/
Gießener Str.,https://www.kvb.koeln/haltestellen/overview/531/
Gisbertstr.,https://www.kvb.koeln/haltestellen/overview/842/
Glashüttenstr.,https://www.kvb.koeln/haltestellen/overview/862/
Gleueler Str./Gürtel,https://www.kvb.koeln/haltestellen/overview/173/
Godorf Bf,https://www.kvb.koeln/haltestellen/overview/134/
Goldammerweg,https://www.kvb.koeln/haltestellen/overview/288/
Goldregenweg,https://www.kvb.koeln/haltestellen/overview/629/
Goltsteinstr./Gürtel,https://www.kvb.koeln/haltestellen/overview/78/
Gottesweg,https://www.kvb.koeln/haltestellen/overview/54/
Grachtenhofstr.,https://www.kvb.koeln/haltestellen/overview/723/
Graditzer Str.,https://www.kvb.koeln/haltestellen/overview/348/
Graf-Adolf-Str.,https://www.kvb.koeln/haltestellen/overview/573/
Graf-Zeppelin-Str.,https://www.kvb.koeln/haltestellen/overview/475/
Gremberg,https://www.kvb.koeln/haltestellen/overview/530/
Grengel Mauspfad,https://www.kvb.koeln/haltestellen/overview/476/
Grevenbroicher Str.,https://www.kvb.koeln/haltestellen/overview/293/
Grimmelshausenstr.,https://www.kvb.koeln/haltestellen/overview/112/
Gronauer Str.,https://www.kvb.koeln/haltestellen/overview/580/
Grunerstr.,https://www.kvb.koeln/haltestellen/overview/587/
Grüner Hof,https://www.kvb.koeln/haltestellen/overview/838/
Grüngürtelstr.,https://www.kvb.koeln/haltestellen/overview/117/
Grünstr.,https://www.kvb.koeln/haltestellen/overview/568/
Gummersbacher Str.,https://www.kvb.koeln/haltestellen/overview/920/
Gunther-Plüschow-Str.,https://www.kvb.koeln/haltestellen/overview/661/
Guntherstr.,https://www.kvb.koeln/haltestellen/overview/503/
Gut Leidenhausen,https://www.kvb.koeln/haltestellen/overview/927/
Gut Neuenhof,https://www.kvb.koeln/haltestellen/overview/722/
Gutenbergstr.,https://www.kvb.koeln/haltestellen/overview/238/
Güterverkehrszentrum,https://www.kvb.koeln/haltestellen/overview/859/
Güterverkehrszentrum Süd,https://www.kvb.koeln/haltestellen/overview/915/
Görlinger-Zentrum,https://www.kvb.koeln/haltestellen/overview/940/
Göttinger Str.,https://www.kvb.koeln/haltestellen/overview/823/
Habichtstr.,https://www.kvb.koeln/haltestellen/overview/884/
Hackhauser Weg,https://www.kvb.koeln/haltestellen/overview/427/
Hahnwald,https://www.kvb.koeln/haltestellen/overview/105/
Halfengasse,https://www.kvb.koeln/haltestellen/overview/350/
Hammerschmidtstr.,https://www.kvb.koeln/haltestellen/overview/129/
Hans-Böckler-Platz/Bf West,https://www.kvb.koeln/haltestellen/overview/867/
Hans-Offermann-Str.,https://www.kvb.koeln/haltestellen/overview/938/
Hansaring,https://www.kvb.koeln/haltestellen/overview/36/
Hansestr.,https://www.kvb.koeln/haltestellen/overview/454/
Hasencleverstr.,https://www.kvb.koeln/haltestellen/overview/538/
Haus Fühlingen,https://www.kvb.koeln/haltestellen/overview/404/
Haus Vorst,https://www.kvb.koeln/haltestellen/overview/713/
Havelstr.,https://www.kvb.koeln/haltestellen/overview/883/
Heeresamt,https://www.kvb.koeln/haltestellen/overview/73/
Heimersdorf,https://www.kvb.koeln/haltestellen/overview/384/
Heimfriedweg,https://www.kvb.koeln/haltestellen/overview/943/
Heinering,https://www.kvb.koeln/haltestellen/overview/372/
Heinrich-Bützler-Str.,https://www.kvb.koeln/haltestellen/overview/924/
Heinrich-Erpenbach-Str.,https://www.kvb.koeln/haltestellen/overview/248/
Heinrich-Lübke-Ufer,https://www.kvb.koeln/haltestellen/overview/897/
Heinrich-Mann-Str.,https://www.kvb.koeln/haltestellen/overview/301/
Heinz-Kühn-Str.,https://www.kvb.koeln/haltestellen/overview/878/
Helaweg,https://www.kvb.koeln/haltestellen/overview/986/
Herforder Str.,https://www.kvb.koeln/haltestellen/overview/364/
Hermann-Löns-Str.,https://www.kvb.koeln/haltestellen/overview/375/
Herrigergasse,https://www.kvb.koeln/haltestellen/overview/189/
Hersel,https://www.kvb.koeln/haltestellen/overview/678/
Herstattallee,https://www.kvb.koeln/haltestellen/overview/388/
Herthastr.,https://www.kvb.koeln/haltestellen/overview/53/
Heumarkt,https://www.kvb.koeln/haltestellen/overview/1/
Heussallee/Museumsmeile,https://www.kvb.koeln/haltestellen/overview/692/
Hildegardis-Krankenhaus,https://www.kvb.koeln/haltestellen/overview/145/
Hildegundweg,https://www.kvb.koeln/haltestellen/overview/618/
Hochkirchen,https://www.kvb.koeln/haltestellen/overview/95/
Hochkreuz,https://www.kvb.koeln/haltestellen/overview/699/
Hohenlind,https://www.kvb.koeln/haltestellen/overview/174/
Holweide S-Bahn,https://www.kvb.koeln/haltestellen/overview/586/
Holweide Vischeringstr.,https://www.kvb.koeln/haltestellen/overview/583/
Honschaftsstr.,https://www.kvb.koeln/haltestellen/overview/610/
Hopfenstr.,https://www.kvb.koeln/haltestellen/overview/868/
Hugo-Eckener-Str.,https://www.kvb.koeln/haltestellen/overview/275/
Hugo-Junkers-Str.,https://www.kvb.koeln/haltestellen/overview/861/
Humboldtstr.,https://www.kvb.koeln/haltestellen/overview/456/
Hücheln Krankenhaus,https://www.kvb.koeln/haltestellen/overview/707/
Hüchelner Str.,https://www.kvb.koeln/haltestellen/overview/718/
Hürth-Hermülheim,https://www.kvb.koeln/haltestellen/overview/733/
Hürth-Kalscheuren Bf.,https://www.kvb.koeln/haltestellen/overview/5447/
Häuschensweg,https://www.kvb.koeln/haltestellen/overview/266/
Höhenberg Frankfurter Str.,https://www.kvb.koeln/haltestellen/overview/518/
Höhscheider Weg,https://www.kvb.koeln/haltestellen/overview/615/
Höningen Rondorfer Weg,https://www.kvb.koeln/haltestellen/overview/92/
Höningen Siedlung,https://www.kvb.koeln/haltestellen/overview/93/
IKEA Am Butzweilerhof,https://www.kvb.koeln/haltestellen/overview/976/
IKEA Godorf,https://www.kvb.koeln/haltestellen/overview/871/
Iltisstr.,https://www.kvb.koeln/haltestellen/overview/249/
Im Buschfelde,https://www.kvb.koeln/haltestellen/overview/230/
Im Falkenhorst,https://www.kvb.koeln/haltestellen/overview/459/
Im Hoppenkamp,https://www.kvb.koeln/haltestellen/overview/655/
Im Klarenpesch,https://www.kvb.koeln/haltestellen/overview/714/
Im Langen Bruch,https://www.kvb.koeln/haltestellen/overview/552/
Im Rheinpark,https://www.kvb.koeln/haltestellen/overview/51/
Im Rheintal,https://www.kvb.koeln/haltestellen/overview/918/
Im Wasserfeld,https://www.kvb.koeln/haltestellen/overview/443/
Im Weidenbruch,https://www.kvb.koeln/haltestellen/overview/606/
Im Wichemshof,https://www.kvb.koeln/haltestellen/overview/793/
Im Wirtskamp,https://www.kvb.koeln/haltestellen/overview/795/
Imbacher Weg,https://www.kvb.koeln/haltestellen/overview/801/
Imbuschstr.,https://www.kvb.koeln/haltestellen/overview/729/
Immendorf,https://www.kvb.koeln/haltestellen/overview/140/
Immendorf Schule,https://www.kvb.koeln/haltestellen/overview/840/
